Time,V_in,V_out
1.0,-1.0,0.0
1.01,-1.0,-0.002496880268848126
1.02,-1.0,-0.004987526031872611
1.03,-1.0,-0.007471954737995263
1.04,-1.0,-0.009950176963505555
1.05,-1.0,-0.01242221463700103
1.06,-1.0,-0.014888071961699991
1.07,-1.0,-0.017347768738303307
1.08,-1.0,-0.019801322807418024
1.09,-1.0,-0.022248752009651186
1.1,-1.0,-0.024690074185609846
1.11,-1.0,-0.027125303614577573
1.12,-1.0,-0.02955445243289899
1.1300000000000001,-1.0,-0.03197753587317809
1.1400000000000001,-1.0,-0.034394569171253914
1.1500000000000001,-1.0,-0.03680556756296551
1.1600000000000001,-1.0,-0.039210546111565034
1.1700000000000002,-1.0,-0.04160951958119101
1.1800000000000002,-1.0,-0.04400250300309557
1.1900000000000002,-1.0,-0.046389511419289896
1.2000000000000002,-1.0,-0.04877055987178515
1.2100000000000002,-1.0,-0.05114566262512386
1.2200000000000002,-1.0,-0.05351483601777614
1.2300000000000002,-1.0,-0.055878093520592816
1.2400000000000002,-1.0,-0.05823545009681968
1.2500000000000002,-1.0,-0.06058692067239435
1.2600000000000002,-1.0,-0.06293252009354632
1.2700000000000002,-1.0,-0.06527226282834747
1.2800000000000002,-1.0,-0.06760616348701909
1.2900000000000003,-1.0,-0.06993423669665272
1.3000000000000003,-1.0,-0.07225649703485831
1.3100000000000003,-1.0,-0.07457295902976405
1.3200000000000003,-1.0,-0.0768836371600165
1.3300000000000003,-1.0,-0.07918854585478051
1.3400000000000003,-1.0,-0.08148769949373924
1.3500000000000003,-1.0,-0.08378111240709418
1.3600000000000003,-1.0,-0.08606879887627436
1.3700000000000003,-1.0,-0.0883507732921643
1.3800000000000003,-1.0,-0.09062705001290855
1.3900000000000003,-1.0,-0.0928976432552819
1.4000000000000004,-1.0,-0.09516256719365908
1.4100000000000004,-1.0,-0.09742183596001476
1.4200000000000004,-1.0,-0.09967546364392352
1.4300000000000004,-1.0,-0.10192346429255983
1.4400000000000004,-1.0,-0.10416585191069813
1.4500000000000004,-1.0,-0.10640264046071278
1.4600000000000004,-1.0,-0.10863384386257802
1.4700000000000004,-1.0,-0.1108594760643561
1.4800000000000004,-1.0,-0.11307955113271204
1.4900000000000004,-1.0,-0.11529408295338095
1.5000000000000004,-1.0,-0.11750308536686675
1.5100000000000005,-1.0,-0.11970657217844094
1.5200000000000005,-1.0,-0.12190455715814258
1.5300000000000005,-1.0,-0.12409705404077825
1.5400000000000005,-1.0,-0.12628407652592216
1.5500000000000005,-1.0,-0.12846563827791602
1.5600000000000005,-1.0,-0.13064175292586913
1.5700000000000005,-1.0,-0.132812434065745
1.5800000000000005,-1.0,-0.13497769528272816
1.5900000000000005,-1.0,-0.13713755011607448
1.6000000000000005,-1.0,-0.13929201206464872
1.6100000000000005,-1.0,-0.14144109459295798
1.6200000000000006,-1.0,-0.14358481113115137
1.6300000000000006,-1.0,-0.1457231750750204
1.6400000000000006,-1.0,-0.1478561997859986
1.6500000000000006,-1.0,-0.14998389859116182
1.6600000000000006,-1.0,-0.15210628478322807
1.6700000000000006,-1.0,-0.1542233715357221
1.6800000000000006,-1.0,-0.15633517229352994
1.6900000000000006,-1.0,-0.15844170013986314
